Binary_extinction_response,Graded_extinction_response,Taxon,Order,Suborder,Family,Subfamily,Genus,Species,Subspecies,Island,Body_mass,Mongoose,Area_km2,Mean_HFP,Proportion_ForestCover2000,Proportion_ForestLoss2000,Mean_Elevation,Max_Elevation,Active_Holocene_volcano,Hurricane,First_human_arrival,taxon
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Ballenatos,3.36,0,0.207520792,NA,0.596448854,0.045572139,25.05309735,58,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Avalos,3.36,0,1.832737656,NA,0.07463666,0.063565426,6.873710074,16,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Ballenatos,3.36,0,0.207520792,NA,0.596448854,0.045572139,25.05309735,58,0,NA,NA,Capromys_pilorides
0,2,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Blanco,3.36,0,2.650493357,NA,0.485236497,0,4.882672092,15,0,NA,NA,Capromys_pilorides
1,3,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Campo,3.36,0,12.13886399,NA,0.0672971,0.019096629,6.54031779,28,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Cinco Leguas,3.36,0,51.04062223,NA,0.20414025,0,4.039569043,14,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Coco,3.36,0,399.8235942,22.29399387,0.365647575,0.012241346,5.490459493,56,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Cruz del Padre,3.36,0,23.43711213,NA,0.303305267,0,5.284837088,18,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,El Calvario,3.36,0,1.11954117,NA,0.24046527,0,6.269828291,14,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Ensenacho,3.36,0,2.549032245,NA,0.2536089,0.090799401,5.43503026,13,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Estopa,3.36,0,3.669094725,NA,0.089198156,0,7.156939676,16,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Frances,3.36,0,7.617928959,NA,0.525670762,0,7.471433662,25,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Hicacos,3.36,0,3.788276877,NA,0.094482755,0,6.100900047,13,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Juan Clarito,3.36,0,3.789807849,NA,0.392384945,0,5.590230021,11,0,NA,NA,Capromys_pilorides
0,2,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Juan Garcia,3.36,0,1.836416315,NA,0.30014387,0.014076954,7.416871015,16,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Las Cruces,3.36,0,10.4900004,NA,0.011467514,0,0.515799416,10,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Macho,3.36,0,2.147958003,NA,0.158753792,0,4.341220423,12,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Matias,3.36,0,8.725402248,NA,0.195129672,0.001875937,6.878051303,17,0,NA,NA,Capromys_pilorides
0,2,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Mono,3.36,0,0.102437351,NA,0.000400764,0,2.339285714,5,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Mono-Galindo,3.36,0,5.569793027,NA,0.495568691,0.000565182,5.492755956,16,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Peraza,3.36,0,1.823321877,NA,0.007236525,0,6.106621227,13,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Piedra,3.36,0,2.339820402,NA,0.098251118,0.047037394,7.78030888,14,0,NA,NA,Capromys_pilorides
0,2,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Real,3.36,0,10.09497077,NA,0.331085734,0.012378737,7.539194727,16,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Rico,3.36,0,2.232485023,NA,0.035663696,0,6.444622793,19,0,NA,NA,Capromys_pilorides
1,3,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Romano,3.36,1,337.5059921,21,0.040900739,0.000268251,2.584747525,43,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Romero,3.36,0,0.23986467,NA,0.134148705,0,1.152091255,7,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Rosario,3.36,0,24.72450425,NA,0.036202633,0.007806194,7.000727458,19,0,NA,NA,Capromys_pilorides
0,2,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Cayeria Los Majaes,3.36,0,3.307679936,NA,0.045929971,0,5.471800434,14,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides ciprianoi,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,ciprianoi,Juventud,4.25,1,2561.11101,36.47604622,0.451502009,0.041581845,19.55636221,304,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Alcatracito,3.15,0,0.332009903,NA,0.066276759,0.021641791,3.139726027,6,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Alcatraz,3.15,0,0.10278478,NA,0.000639056,0,6.704918033,16,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Algodon Grande,3.15,0,4.850317424,NA,0.064047338,0.037610678,0.382679497,10,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Anclitas-Miraflores,3.15,0,19.36372982,NA,0.052151326,0,0.990964693,14,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Balandras,3.15,0,2.056832186,NA,0.249968205,0,1.552792321,7,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Boca Chica,3.15,0,5.511901642,NA,0.018092947,0,0.972897503,7,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Breton,3.15,0,10.77868297,NA,0.008440177,0.144584838,2.223749267,10,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Caballones,3.15,0,2.440595792,NA,0.288480043,0.002262391,3.531077602,14,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Cabeza Del Este,3.15,0,8.861888244,NA,0.009848827,0,1.240101523,16,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Caguama,3.15,0,6.630728204,NA,0.017743209,0.006350757,0.91097561,11,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Camposanto,3.15,0,3.665770413,NA,0.006618655,0,0.568176194,8,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Cinco Balas,3.15,0,31.5010815,NA,0.042912854,0.052101555,2.172344804,14,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Cotorro,3.15,0,3.223634942,NA,0.025768159,0,2.811030235,12,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Grande,3.15,0,8.71059955,NA,0.333904407,0.009939701,7.472233734,22,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Guasa,3.15,0,0.309847379,NA,0.254708501,0,2.80060423,6,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Jia,3.15,0,2.290192455,NA,0.011633763,0,1.842559874,13,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Juan Grin,3.15,0,1.294422373,NA,0.017893882,0,0.577808793,7,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,La Cafetera,3.15,0,2.107586275,NA,0.009832897,0,1.201807229,7,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Largo,3.15,0,0.839355577,NA,0.525151344,0,3.312903226,11,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Las Varas,3.15,0,0.174706799,NA,0.375268938,0,7.85326087,15,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Los Chinos,3.15,0,5.612725809,NA,0.027670055,0,0.745619624,11,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Maria Velache,3.15,0,3.68290457,NA,0.015888899,0,1.393406593,15,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Piedra Chica,3.15,0,0.378111444,NA,0,0,-0.165048544,3,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Piedra Grande,3.15,0,2.152779743,NA,0.037437984,0,1.41680602,8,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides doceleguas,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,doceleguas,Salinas,3.15,0,10.80306637,NA,0.369243621,0.000959187,2.611834418,11,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides gundlachianus,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,gundlachianus,Boca Rompia,2.65,0,4.270906746,NA,0.127555251,0,4.021397105,14,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides gundlachianus,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,gundlachianus,Fragoso,2.65,0,99.85212581,24.19733503,0.191230462,0.000119109,2.030754809,12,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides gundlachianus,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,gundlachianus,Guillermo,2.65,0,20.27145678,NA,0.147152858,0.009449257,3.703381942,19,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides gundlachianus,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,gundlachianus,Las Brujas,2.65,0,20.38475629,NA,0.195885436,0.022573196,3.869141572,21,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides gundlachianus,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,gundlachianus,Punta Arenas,2.65,0,1.235517491,NA,0.389254363,0,3.026181818,8,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides gundlachianus,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,gundlachianus,Santa Maria,2.65,0,28.17709008,NA,0.378263,0.153450432,5.455580429,31,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,pilorides,Cuba,3.68,1,123293.4827,42.37540629,0.298644244,0.044767589,102.3630598,1973,0,45,5904,Capromys_pilorides
1,4,Capromys pilorides pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,pilorides,Saetia,3.68,0,51.69860092,NA,0.69516113,0.005278377,22.92934622,84,0,NA,NA,Capromys_pilorides
1,3,Capromys pilorides relictus,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,relictus,Juventud,3.06,1,2561.11101,36.47604622,0.451502009,0.041581845,19.55636221,304,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Diego Perez,3.36,0,12.1452718,NA,0.167385332,0.000383686,6.465705581,16,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Macio,3.36,0,0.051667244,NA,0.177665873,0,2.851851852,5,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Diego Perez,3.36,0,12.1452718,NA,0.167385332,0.000383686,6.465705581,16,0,NA,NA,Capromys_pilorides
1,4,Capromys pilorides,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,NA,Macio,3.36,0,0.051667244,NA,0.177665873,0,2.851851852,5,0,NA,NA,Capromys_pilorides
0,1,Capromys pilorides lewisi,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,lewisi,Cayman Brac,1.98,0,44.37197648,NA,0.351640692,0.029016448,17.91417214,52,0,47,NA,Capromys_pilorides
0,1,Capromys pilorides lewisi,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,lewisi,Grand Cayman,1.98,0,236.3344908,45.58261533,0.357809359,0.019058373,5.833318101,31,0,59,NA,Capromys_pilorides
0,0,Capromys pilorides lewisi,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Capromys,pilorides,lewisi,Little Cayman,1.98,0,31.28285765,NA,0.413468954,0.001338766,5.04220854,17,0,46,NA,Capromys_pilorides
0,0,Clidomys osborni,Rodentia,Hystricomorpha,Heptaxodontidae,Clidomyinae,Clidomys,osborni,NA,Jamaica,18.02,1,12203.16211,45.18476175,0.625345207,0.047714751,321.6511164,2249,0,44,1208,Clidomys_osborni
0,0,Elasmodontomys obliquus,Rodentia,Hystricomorpha,Heptaxodontidae,Heptaxodontinae,Elasmodontomys,obliquus,NA,Puerto Rico,8.45,1,9719.527968,63.35270754,0.517907357,0.027338401,238.0045899,1328,0,45,4654,Elasmodontomys_obliquus
1,3,Geocapromys brownii,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Geocapromys,brownii,NA,Jamaica,1.5,1,12203.16211,45.18476175,0.625345207,0.047714751,321.6511164,2249,0,44,1208,Geocapromys_brownii
0,1,Geocapromys columbianus,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Geocapromys,columbianus,NA,Cuba,1.24,1,123293.4827,42.37540629,0.298644244,0.044767589,102.3630598,1973,0,45,5904,Geocapromys_columbianus
0,0,Geocapromys columbianus,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Geocapromys,columbianus,NA,Juventud,1.24,1,2561.11101,36.47604622,0.451502009,0.041581845,19.55636221,304,0,NA,NA,Geocapromys_columbianus
0,0,Geocapromys columbianus,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Geocapromys,columbianus,NA,Salinas,1.24,0,10.80306637,NA,0.369243621,0.000959187,2.611834418,11,0,NA,NA,Geocapromys_columbianus
0,0,Geocapromys ingrahami,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Geocapromys,ingrahami,NA,Acklins,0.96,0,581.2482206,18.26875259,0.213175072,0.001414875,4.358007621,43,0,NA,NA,Geocapromys_ingrahami
0,0,Geocapromys ingrahami,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Geocapromys,ingrahami,NA,Cat Island,0.96,0,446.043791,26.18165636,0.599943554,0.08211079,10.52471276,65,0,NA,NA,Geocapromys_ingrahami
0,0,Geocapromys ingrahami,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Geocapromys,ingrahami,NA,Middle Caicos,0.96,0,152.8976039,22.35290408,0.087694761,0.001054475,7.621202578,47,0,NA,854,Geocapromys_ingrahami
0,1,Geocapromys ingrahami,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Geocapromys,ingrahami,NA,New Providence,0.96,0,274.3871179,66.81582264,0.142879457,0.247531577,7.4079672,41,0,54,NA,Geocapromys_ingrahami
0,0,Geocapromys ingrahami,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Geocapromys,ingrahami,NA,North Andros,0.96,0,4439.260058,11.93637404,0.102516131,0.023672184,5.232377962,96,0,NA,NA,Geocapromys_ingrahami
0,0,Geocapromys ingrahami,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Geocapromys,ingrahami,NA,San Salvador,0.96,0,190.1057442,29.64022569,0.211379825,0.000734544,7.439503321,42,0,63,1278,Geocapromys_ingrahami
0,0,Geocapromys ingrahami,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Geocapromys,ingrahami,NA,South Andros,0.96,0,1215.294029,11.62784879,0.141902999,0.025616223,4.621786388,57,0,NA,NA,Geocapromys_ingrahami
0,0,Geocapromys ingrahami abaconis,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Geocapromys,ingrahami,abaconis,Great Abaco,0.83,0,1447.925422,31.67637141,0.255244095,0.053213401,5.055257132,42,0,80,923,Geocapromys_ingrahami
1,3,Geocapromys ingrahami ingrahami,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Geocapromys,ingrahami,ingrahami,East Plana Cay,0.71,0,9.757795236,NA,0,0,0.130940297,10,0,NA,NA,Geocapromys_ingrahami
0,2,Geocapromys ingrahami,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Geocapromys,ingrahami,NA,Samana Cay,0.96,0,41.64917579,NA,0.133664328,0.000704991,5.348609581,29,0,NA,NA,Geocapromys_ingrahami
0,1,Geocapromys ingrahami irrectus,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Geocapromys,ingrahami,irrectus,Crooked Island,1.3,0,320.1097609,17.23851541,0.355599766,0.002636575,4.656968211,45,0,NA,692,Geocapromys_ingrahami
0,0,Geocapromys ingrahami irrectus,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Geocapromys,ingrahami,irrectus,Eleuthera,0.96,0,550.9588862,41.98904492,0.523867326,0.098342252,10.78415982,78,0,NA,1594,Geocapromys_ingrahami
0,0,Geocapromys ingrahami irrectus,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Geocapromys,ingrahami,irrectus,Great Exuma,1,0,252.559726,34.86074948,0.258325429,0.020143983,5.396095913,35,0,57,NA,Geocapromys_ingrahami
0,0,Geocapromys ingrahami irrectus,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Geocapromys,ingrahami,irrectus,Little Exuma,1,0,36.1490637,NA,0.19143937,0.013843491,3.323092244,30,0,57,NA,Geocapromys_ingrahami
0,0,Geocapromys ingrahami irrectus,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Geocapromys,ingrahami,irrectus,Long Island,0.96,0,610.4374197,30.06541115,0.354647332,0.011118453,6.312431628,105,0,NA,NA,Geocapromys_ingrahami
0,1,Geocapromys sp. 1,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Geocapromys,caymanensis,NA,Cayman Brac,1.22,0,44.37197648,NA,0.351640692,0.029016448,17.91417214,52,0,47,NA,Geocapromys_caymanensis
0,1,Geocapromys sp. 2,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Geocapromys,caymanensis,NA,Grand Cayman,0.98,0,236.3344908,45.58261533,0.357809359,0.019058373,5.833318101,31,0,59,NA,Geocapromys_caymanensis
0,2,Geocapromys thoracatus,Rodentia,Hystricomorpha,Capromyidae,Capromyinae,Geocapromys,thoracatus,NA,Little Swan Island,0.89,0,2.033412951,NA,0,0,0.012814848,4,0,NA,NA,Geocapromys_thoracatus
